name,ring,quadrant,isNew,description
Java 8,adopt,languages & frameworks,TRUE,"Description"
Java 11,adopt,languages & frameworks,TRUE,"Description"
C++,adopt,languages & frameworks,TRUE,"Description"
C#,adopt,languages & frameworks,TRUE,"Description"
PL/SQL,adopt,languages & frameworks,TRUE,"Description"
Groovy,adopt,languages & frameworks,TRUE,"Description"
python 3.6,adopt,languages & frameworks,TRUE,"Description"
python 2.7,adopt,languages & frameworks,TRUE,"Description"
Kotlin,adopt,languages & frameworks,TRUE,"Description"
PHP 7/1,adopt,languages & frameworks,TRUE,"Description"
bash,adopt,languages & frameworks,TRUE,"Description"
QML,adopt,languages & frameworks,TRUE,"Description"
SAS 9.4,adopt,languages & frameworks,TRUE,"Description"
SAP Netweaver,adopt,languages & frameworks,TRUE,"Description"
1С,adopt,languages & frameworks,TRUE,"Description"
MS Exchange,adopt,languages & frameworks,TRUE,"Description"
MS File Storage,adopt,languages & frameworks,TRUE,"Description"
MS Distributed File Storage,adopt,languages & frameworks,TRUE,"Description"
Mongo DB 3.4,adopt,languages & frameworks,TRUE,"Description"
PostgreSQL 10,adopt,languages & frameworks,TRUE,"Description"
Elastic search 6.5,adopt,languages & frameworks,TRUE,"Description"
MariaDB/Galera,adopt,languages & frameworks,TRUE,"Description"
Redis,adopt,languages & frameworks,TRUE,"Description"
MS SQL,adopt,languages & frameworks,TRUE,"Description"
mysql,adopt,languages & frameworks,TRUE,"Description"
Oracle 12.1,adopt,languages & frameworks,TRUE,"Description"
SQL Anywhere 17,adopt,languages & frameworks,TRUE,"Description"
Azure SQL,adopt,languages & frameworks,TRUE,"Description"
Hazelcast,adopt,languages & frameworks,TRUE,"Description"
Firebird 2.5,adopt,languages & frameworks,TRUE,"Description"
MS IIS,adopt,languages & frameworks,TRUE,"Description"
Apache HTTPd,adopt,languages & frameworks,TRUE,"Description"
Apache Tomcat,adopt,languages & frameworks,TRUE,"Description"
Jboss EAP 7,adopt,languages & frameworks,TRUE,"Description"
Nginx,adopt,languages & frameworks,TRUE,"Description"
Ceph,adopt,languages & frameworks,TRUE,"Description"
ClusterFS,adopt,languages & frameworks,TRUE,"Description"
Kafka 2.2,adopt,languages & frameworks,TRUE,"Description"
RabbitMQ,adopt,languages & frameworks,TRUE,"Description"
ActiveMQ,adopt,languages & frameworks,TRUE,"Description"
MS Shapepoint,adopt,languages & frameworks,TRUE,"Description"
Borland C++,adopt,languages & frameworks,TRUE,"Description"
Visual C++,adopt,languages & frameworks,TRUE,"Description"
QT,adopt,languages & frameworks,TRUE,"Description"
Windows Presentation Foundation,adopt,languages & frameworks,TRUE,"Description"
qml,adopt,languages & frameworks,TRUE,"Description"
nana,adopt,languages & frameworks,TRUE,"Description"
Kotlin Spring,adopt,languages & frameworks,TRUE,"Description"
Hibernate,adopt,languages & frameworks,TRUE,"Description"
Thymeleaf,adopt,languages & frameworks,TRUE,"Description"
Velocity,adopt,languages & frameworks,TRUE,"Description"
JQuery,adopt,languages & frameworks,TRUE,"Description"
React JS,adopt,languages & frameworks,TRUE,"Description"
Angular JS,adopt,languages & frameworks,TRUE,"Description"
Backbone,adopt,languages & frameworks,TRUE,"Description"
MarionetJS,adopt,languages & frameworks,TRUE,"Description"
VueJS,adopt,languages & frameworks,TRUE,"Description"
ExtJS,adopt,languages & frameworks,TRUE,"Description"
Django,adopt,languages & frameworks,TRUE,"Description"
Flask,adopt,languages & frameworks,TRUE,"Description"
Symfony,adopt,languages & frameworks,TRUE,"Description"
ASP.Net,adopt,languages & frameworks,TRUE,"Description"
Atlassian User Interface,adopt,languages & frameworks,TRUE,"Description"
asyncio,adopt,languages & frameworks,TRUE,"Description"
aiohttp,adopt,languages & frameworks,TRUE,"Description"
SQLAlchemy,adopt,languages & frameworks,TRUE,"Description"
Spring,adopt,languages & frameworks,TRUE,"Description"
Spring Cloud,adopt,languages & frameworks,TRUE,"Description"
Spring Boot,adopt,languages & frameworks,TRUE,"Description"
Reactive,adopt,languages & frameworks,TRUE,"Description"
boost,adopt,languages & frameworks,TRUE,"Description"
Net Entity Framework,adopt,languages & frameworks,TRUE,"Description"
Toothpick,adopt,languages & frameworks,TRUE,"Description"
Unity3D,adopt,languages & frameworks,TRUE,"Description"
SAP BO 4.2,adopt,languages & frameworks,TRUE,"Description"
Ataccama 11.3,adopt,languages & frameworks,TRUE,"Description"
ESE - JetBlue,adopt,languages & frameworks,TRUE,"Description"
Keepalived,adopt,languages & frameworks,TRUE,"Description"
MinIO,adopt,languages & frameworks,TRUE,"Description"
SASS,adopt,languages & frameworks,TRUE,"Description"
